6s8d1D2       46405.62     0.30     46403.220405   71940 2.788127
6s8d3D2       46467.69     0.30     46468.006828   -9499 2.745826
6p(2)1D2      47420.97     0.30     47421.203636   -7005    -
6s9d1D2       47821.74     0.30     47822.561106  -24620 2.528818
6s9d3D2       47634.40     0.30     47634.215002    5546 2.749543
6s10d1D2      48403.49     0.30     48394.839809  259300 2.680405
6s10d3D2      48357.63     0.30     48353.122376  135100 2.753826
4f(13)5d6s6pB 48762.52     0.30     48764.627471  -63180    -
6s11d1D2      48883.12     0.30     48876.949819  185000 2.629259
6s11d3D2      48838.14     0.30     48836.053145   62560 2.736459
6s12d1D2      49176.00     0.30     49177.269330  -38050 2.689055
6s12d3D2      49161.12     0.30     49161.794071  -20210 2.745455
6s13d1D2      49408.58     0.30     49409.033108  -13580 2.698312
6s13d3D2      49399.10     0.30     49399.204959   -3147 2.746923
6s14d1D2      49583.28     0.30     49583.268280     351 2.702633
6s14d3D2      49576.36     0.30     49576.395882   -1076 2.747514
6s15d1D2      49717.15     0.30     49717.113377    1097 2.705213
6s15d3D2      49712.11     0.30     49712.054327    1669 2.747830
6s16d1D2      49822.08     0.30     49822.053773     786 2.706943
6s16d3D2      49818.19     0.30     49818.197542    -227 2.748024
6s17d1D2      49905.79     0.30     49905.817505    -825 2.708195
6s17d3D2      49902.78     0.30     49902.800583    -618 2.748154
6s18d1D2      49973.69     0.30     49973.727869   -1136 2.709154
6s18d3D2      49971.34     0.30     49971.318753     636 2.748247
6s19d1D2      50029.61     0.30     50029.540423    2085 2.709929
6s19d3D2      50027.66     0.30     50027.584510    2263 2.748317
6s20d1D2      50076.05     0.30     50075.963353    2597 2.710592
6s20d3D2      50074.44     0.30     50074.353678    2587 2.748373
6s21d1D2      50115.18     0.30     50114.988242    5748 2.711202
6s21d3D2      50113.67     0.30     50113.648840     634 2.748420
6s22d1D2      50148.59     0.30     50148.105429 1.453e4 2.711820
6s22d3D2      50147.03     0.30     50146.981496    1454 2.748463
6s23d1D2      50176.447184 0.000010 50176.447238   -1.63 2.712546
6s23d3D2      50175.499462 0.000010 50175.499494   -0.98 2.748508
6s24d1D2      50200.884090 0.000010 50200.884131   -1.23 2.713624
6s24d3D2      50200.087072 0.000010 50200.087055    0.50 2.748567
6s25d1D2      50222.082355 0.000010 50222.082247    3.23 2.716060
6s25d3D2      50221.433573 0.000010 50221.433546    0.79 2.748695
6s26d1D2      50240.290618 0.000010 50240.290626   -0.24 2.737084
6s26d3D2      50240.035775 0.000010 50240.035785   -0.30 2.751688
4f(13)5d6s6pA 50244.240350 0.000010 50244.240348    0.00    -
6s27d1D2      50257.162357 0.000010 50257.162284    2.18 2.704418
6s27d3D2      50256.489825 0.000010 50256.489877   -1.56 2.748236
6s28d1D2      50271.516211 0.000010 50271.516216   -0.16 2.708428
6s28d3D2      50270.973044 0.000010 50270.972943    3.02 2.748380
6s29d1D2      50284.303041 0.000010 50284.303034    0.19 2.709681
6s29d3D2      50283.833875 0.000010 50283.833968   -2.81 2.748431
6s30d1D2      50295.718328 0.000010 50295.718332   -0.12 2.710325
6s30d3D2      50295.305744 0.000010 50295.305642    3.07 2.748460
6s31d1D2      50305.947641 0.000010 50305.947632    0.26 2.710733
6s31d3D2      50305.580853 0.000010 50305.580969   -3.47 2.748480
6s32d1D2      50315.148609 0.000010 50315.148611   -0.07 2.711022
6s32d3D2      50314.820778 0.000010 50314.820656    3.67 2.748494
6s33d1D2      50323.454188 0.000010 50323.454197   -0.28 2.711242
