
Energies
--------
(a): Experimental energies, in inverse centimeters.
(b): Experimental errors, in inverse centimeters.
(c): Calculated energies, in inverse centimeters.
(d): Difference (a) - (b), in inverse centimeters.
(e): Difference (a) - (b), in MHz.
(f): Contribution to the total chi2.
    (a)         (b)         (c)          (d)         (e)        (f)  
50387.122020  0.000010  50387.122004   0.000016   4.800e-01  2.563e+00
50389.479828  0.000010  50389.479831  -0.000003  -9.331e-02  9.687e-02
50389.565438  0.000010  50389.565450  -0.000012  -3.657e-01  1.488e+00
50391.772081  0.000010  50391.772134  -0.000053  -1.582e+00  2.784e+01
50391.852203  0.000010  50391.852259  -0.000056  -1.671e+00  3.109e+01
50393.920367  0.000010  50393.920444  -0.000077  -2.307e+00  5.923e+01
50393.995485  0.000010  50393.995537  -0.000052  -1.553e+00  2.685e+01
50395.936562  0.000010  50395.936574  -0.000012  -3.566e-01  1.415e+00
50396.006944  0.000010  50396.007049  -0.000105  -3.141e+00  1.098e+02
50397.831139  0.000010  50397.831149  -0.000010  -2.966e-01  9.791e-01
50397.897318  0.000010  50397.897378  -0.000060  -1.801e+00  3.610e+01
50399.613772  0.000010  50399.613748   0.000024   7.282e-01  5.899e+00
50399.676015  0.000010  50399.676067  -0.000052  -1.545e+00  2.656e+01
50401.292934  0.000010  50401.293024  -0.000090  -2.693e+00  8.069e+01
50401.351708  0.000010  50401.351735  -0.000027  -8.110e-01  7.318e+00
50402.876696  0.000010  50402.876811  -0.000115  -3.438e+00  1.315e+02
50402.932001  0.000010  50402.932188  -0.000187  -5.613e+00  3.505e+02
50404.372197  0.000010  50404.372213  -0.000016  -4.842e-01  2.609e+00
50404.424367  0.000010  50404.424505  -0.000138  -4.147e+00  1.914e+02
50405.785642  0.000010  50405.785687  -0.000045  -1.362e+00  2.064e+01
50405.835009  0.000010  50405.835120  -0.000111  -3.322e+00  1.228e+02
50407.123100  0.000010  50407.123111  -0.000011  -3.236e-01  1.165e+00
50407.169799  0.000010  50407.169889  -0.000090  -2.687e+00  8.035e+01
50408.389843  0.000010  50408.389843   0.000000   6.638e-03  4.903e-04
50408.434007  0.000010  50408.434153  -0.000146  -4.383e+00  2.138e+02
50409.590674  0.000010  50409.590779  -0.000105  -3.147e+00  1.102e+02
50409.632637  0.000010  50409.632793  -0.000156  -4.673e+00  2.430e+02
50410.730329  0.000010  50410.730398  -0.000069  -2.082e+00  4.824e+01
50410.770157  0.000010  50410.770272  -0.000115  -3.452e+00  1.326e+02
50411.812745  0.000010  50411.812805  -0.000060  -1.812e+00  3.655e+01
50411.850638  0.000010  50411.850682  -0.000044  -1.323e+00  1.947e+01
50412.841590  0.000010  50412.841767  -0.000177  -5.293e+00  3.117e+02
50412.877748  0.000010  50412.877778  -0.000030  -8.869e-01  8.752e+00
50413.820734  0.000010  50413.820743  -0.000009  -2.789e-01  8.655e-01
50413.854958  0.000010  50413.855009  -0.000051  -1.543e+00  2.650e+01
50414.752979  0.000010  50414.752922   0.000057   1.722e+00  3.298e+01
50414.785468  0.000010  50414.785554  -0.000086  -2.578e+00  7.395e+01
50415.641260  0.000010  50415.641237   0.000023   6.793e-01  5.134e+00
50415.672415  0.000010  50415.672338   0.000077   2.296e+00  5.868e+01
50416.488379  0.000010  50416.488400  -0.000021  -6.272e-01  4.377e+00
50416.518067  0.000010  50416.518064   0.000003   8.696e-02  8.414e-02
50417.296939  0.000010  50417.296913   0.000026   7.909e-01  6.960e+00
50417.325292  0.000010  50417.325227   0.000065   1.942e+00  4.197e+01
50418.069206  0.000010  50418.069091   0.000115   3.440e+00  1.317e+02
50418.096092  0.000010  50418.096137  -0.000045  -1.350e+00  2.027e+01
50418.807117  0.000010  50418.807081   0.000036   1.086e+00  1.313e+01
50418.833001  0.000010  50418.832932   0.000069   2.054e+00  4.693e+01
50419.512872  0.000010  50419.512870   0.000002   5.671e-02  3.578e-02
50419.537689  0.000010  50419.537597   0.000092   2.753e+00  8.434e+01
50420.188339  0.000010  50420.188306   0.000033   9.986e-01  1.110e+01
50420.212022  0.000010  50420.211972   0.000050   1.485e+00  2.455e+01
50420.835120  0.000010  50420.835103   0.000017   4.965e-01  2.743e+00
50420.857736  0.000010  50420.857770  -0.000034  -1.012e+00  1.139e+01
50421.455115  0.000010  50421.454860   0.000255   7.653e+00  6.517e+02
50421.476497  0.000010  50421.476581  -0.000084  -2.525e+00  7.096e+01
